depth,uo,vo,thetao,so,rhoa
-1.01823664,0.04082243,-0.15396362,26.75708864,38.79726958,1025.65969102
-3.16574740,0.03168384,-0.14114667,26.72096665,38.79694771,1025.67108180
-5.46496344,0.02141986,-0.12282852,26.65846217,38.79679881,1025.69107728
-7.92037725,0.01668842,-0.09486338,26.51546128,38.79295492,1025.73406754
-10.53660393,0.03549831,-0.07308125,26.09466138,38.77043755,1025.85120515
-13.31838417,0.04445379,-0.07064605,25.38609764,38.74775172,1026.05691278
-16.27058601,0.04048438,-0.06656353,24.40077055,38.74381012,1026.35749184
-19.39821053,0.03741461,-0.06551372,23.19473668,38.75737615,1026.72918115
-22.70639229,0.03674204,-0.06907273,21.85099098,38.78323646,1027.13813194
-26.20039940,0.03146629,-0.07399675,20.48477505,38.81407292,1027.54271585
-29.88564301,0.02301798,-0.07647022,19.23124898,38.84436494,1027.90219988
-33.76767349,0.01930726,-0.07418717,18.18750094,38.87020517,1028.19213867
-37.85219193,0.01780668,-0.07023155,17.36656885,38.89176309,1028.41473230
-42.14503860,0.01460394,-0.06743959,16.75657373,38.90958763,1028.57782445
-46.65221024,0.01165934,-0.06571564,16.31836057,38.92354000,1028.69390829
-51.37985992,0.00923031,-0.06293534,15.99828923,38.93359619,1028.77754758
-56.33428574,0.00798823,-0.06010897,15.75597000,38.93983432,1028.83921814
-61.52195740,0.00655186,-0.05795040,15.56231052,38.94260023,1028.88642369
-66.94949341,0.00623605,-0.05617043,15.39923540,38.94323821,1028.92461282
-72.62368774,0.00606884,-0.05515840,15.25896859,38.94256823,1028.95633108
-78.55149841,0.00598561,-0.05426820,15.13758038,38.94060611,1028.98257103
-84.74004364,0.00626943,-0.05298044,15.03203129,38.93753008,1029.00422115
-91.19663239,0.00741320,-0.05188828,14.94072095,38.93379855,1029.02204214
-97.92872620,0.00871136,-0.05095254,14.86184396,38.92972490,1029.03671827
-104.94397736,0.00994006,-0.05001558,14.79359578,38.92554241,1029.04886233
-112.25020599,0.01062984,-0.04915969,14.73573974,38.92154712,1029.05877599
-119.85543060,0.01305594,-0.04798604,14.68842641,38.91803299,1029.06666929
-127.76783752,0.01338150,-0.04698591,14.65031561,38.91507787,1029.07291598
-135.99580383,0.01314241,-0.04546150,14.61938740,38.91266497,1029.07796409
-144.54789734,0.01417833,-0.04316832,14.59455694,38.91082383,1029.08208478
-153.43284607,0.01599780,-0.04079495,14.57495590,38.90956265,1029.08548226
-162.65962219,0.01734034,-0.03890301,14.55945324,38.90880174,1029.08834985
-172.23735046,0.01682975,-0.03722774,14.54675828,38.90840688,1029.09087299
-182.17535400,0.01818778,-0.03539587,14.53625811,38.90824277,1029.09308449
-192.48313904,0.02103243,-0.03374957,14.52773078,38.90825100,1029.09498921
-203.17044067,0.02191161,-0.03212785,14.52074639,38.90859822,1029.09681220
-214.24716187,0.02318838,-0.03082794,14.51523949,38.90937986,1029.09864213
-225.72340393,0.02398322,-0.02993559,14.51109449,38.91052326,1029.10044875
-237.60946655,0.02326134,-0.02899099,14.50803172,38.91196954,1029.10224884
-249.91584778,0.02398128,-0.02777748,14.50577087,38.91356985,1029.10398970
-262.65322876,0.02459502,-0.02674332,14.50365602,38.91509827,1029.10564243
-275.83251953,0.02481572,-0.02569710,14.50084161,38.91632924,1029.10722057
-289.46478271,0.02495727,-0.02445063,14.49656641,38.91712255,1029.10878484
-303.56130981,0.02514777,-0.02345560,14.49041863,38.91749021,1029.11043586
-318.13354492,0.02565375,-0.02214135,14.48229371,38.91747311,1029.11222819
-333.19314575,0.02677745,-0.02081761,14.47253957,38.91707190,1029.11408461
-348.75195312,0.02751358,-0.01965248,14.46163616,38.91631414,1029.11591944
-364.82196045,0.02806454,-0.01853379,14.45034497,38.91537600,1029.11769965
-381.41543579,0.02882916,-0.01737404,14.43930173,38.91441405,1029.11940524
-398.54470825,0.02965636,-0.01602328,14.42846982,38.91356038,1029.12114663
-416.22232056,0.02904166,-0.01463019,14.41776968,38.91289614,1029.12300431
-434.46105957,0.02896158,-0.01336228,14.40817832,38.91252370,1029.12484111
-453.27377319,0.02951598,-0.01183594,14.40048846,38.91257366,1029.12658289
-472.67349243,0.02887571,-0.01033448,14.39389213,38.91297217,1029.12835177
-492.67346191,0.02810517,-0.00885040,14.38783438,38.91354890,1029.13013897
-513.28698730,0.02782365,-0.00713705,14.38182226,38.91405148,1029.13185838
-534.52758789,0.02710696,-0.00542874,14.37401815,38.91401287,1029.13355507
-556.40887451,0.02587851,-0.00362611,14.36285367,38.91337266,1029.13552868
-578.94458008,0.02456392,-0.00232350,14.34712321,38.91160344,1029.13763638
-602.14862061,0.02334074,-0.00151948,14.32481066,38.90833460,1029.14003429
-626.03491211,0.02136918,-0.00031466,14.29534205,38.90357931,1029.14285487
-650.61755371,0.01973160,0.00126748,14.25781408,38.89725581,1029.14622754
-675.91070557,0.01866198,0.00273715,14.21039498,38.88923214,1029.15044369
-701.92864990,0.01639509,0.00338855,14.14891767,38.87898919,1029.15600084
-728.68560791,0.01327197,0.00399846,14.07133357,38.86629238,1029.16313958
-756.19604492,0.00737538,0.00369046,13.98011400,38.85187721,1029.17185573
-784.47430420,0.00400327,0.00186317,13.88279157,38.83704628,1029.18149112
-813.53485107,0.00242081,-0.00029705,13.80039640,38.82515160,1029.19008943
-843.39215088,0.00242081,-0.00029705,13.80039640,38.82515160,1029.19008943
